CS1	CS2	group
SRR5575353	1.520216233	-0.368383174	3
SRR5575591	1.505333817	-0.195918532	3
SRR5575400	1.360348774	-0.262237668	3
SRR5575629	-0.46825492	-0.791691248	3
SRR5575632	1.055321543	-1.386326928	3
SRR5575660	-0.079813249	-1.188226113	3
SRR5575659	2.009840159	-1.692488322	3
SRR5575612	1.080551404	-1.301773968	3
SRR5575546	0.447437597	-0.965059472	3
SRR5575509	0.659001759	0.212163485	3
SRR5575513	1.096785902	-0.107822955	3
SRR5575594	1.14247856	-0.174280326	3
SRR5575611	1.250932683	-1.0141306	3
SRR5575352	0.642355108	-0.428624157	3
SRR5575482	-0.309101078	-1.095724639	3
SRR5575483	0.977291363	-1.243310853	3
SRR5575548	1.493026178	-0.949745684	3
SRR5575592	1.219802739	-1.397015093	3
SRR5575593	0.876023063	-1.460491029	3
SRR5575610	0.983459039	-1.265621911	3
SRR5575661	1.046097906	-1.349907002	3
SRR5575662	1.73957103	-1.80667411	3
SRR5575395	0.761627302	0.093857474	3
SRR5575441	0.938981276	-0.317710563	3
SRR5575447	0.93106583	-0.405717796	3
SRR5575449	0.90876069	-0.813605049	3
SRR5575658	0.207979614	-1.587195586	3
SRR5575657	-1.497590099	-1.801177245	3
SRR5575627	1.411250048	0.752387037	3
ERR3016493	0.354698118	-1.162122057	3
ERR3016528	0.258468884	-1.338672332	3
ERR3016919	1.74653195	-0.518428042	3
ERR3017089	0.527079183	-1.268060067	3
ERR3017182	1.718755941	-0.604083764	3
ERR3017252	1.351257184	0.485416632	3
ERR3016495	0.29857138	-0.745528959	3
ERR3016923	1.100060057	-0.416093004	3
ERR3016986	1.660333519	-0.275603785	3
ERR3017181	1.723907958	-0.440391942	3
ERR3016963	1.250722743	0.578524034	3
ERR3016566	0.390860688	-0.384357619	3
ERR3016567	0.419932753	-1.08368925	3
ERR3017036	0.719945533	-0.29464559	3
ERR3017152	1.096764515	0.490343269	3
ERR3016987	1.676977464	-0.210056414	3
ERR3018505	2.330946456	-1.9887187	3
SRR7546581	0.65325663	-0.488348575	3
SRR7546682	0.450667006	-1.153484482	3
SRR7546835	0.788709999	0.339034017	3
SRR7546842	0.1343105	0.115952378	3
SRR7547098	-1.185539848	-1.323057549	3
SRR7546868	0.002823762	-0.936755075	3
SRR7546018	0.922100655	0.446949899	3
SRR7546736	1.051231599	0.429619483	3
SRR7547023	0.180736751	-0.945019005	3
SRR7546963	0.963107023	-1.170507645	3
SRR7546819	0.347081645	-0.323486754	3
SRR7546976	0.204298736	-0.60318102	3
SRR7547022	0.731232412	-1.422937602	3
SRR7547119	0.610137953	-0.315196594	3
SRR7546824	1.148217268	-0.190682193	3
SRR7546534	1.520327408	-1.59927456	3
SRR7546194	0.78493727	0.13037582	3
SRR7546974	0.266704706	-0.242670324	3
SRR7546775	1.542614777	-0.05876225	3
SRR7546463	0.873655723	-0.739849177	3
SRR7546470	0.885046534	0.242010041	3
SRR7546073	1.601302615	-0.610527126	3
SRR7546214	-2.642528982	-3.579711877	3
SRR7546403	1.330512498	0.17472729	3
SRR7546928	1.154030561	-0.475718466	3
SRR7546215	2.135769273	-1.865591097	3
SRR7546545	1.467338678	-0.227860756	3
SRR7547019	0.834993965	0.283455781	3
SRR7546739	0.522870805	-0.627801754	3
SRR7546333	0.489634342	-0.877326132	3
SRR7546955	1.14472863	-1.45018317	3
SRR7546420	1.333565317	-0.395980229	3
SRR7546870	0.77547581	-0.023588986	3
SRR7546197	1.600737849	0.072413668	3
SRR7546347	1.024357341	0.448861567	3
