ID	CS1	CS2	CS3	group
ERR3017006	-2.321720579	-0.917903669	-2.882979597	2
ERR3017264	1.255478401	0.00784984	-0.845707037	3
ERR3017712	-2.45038041	0.846230713	2.547487637	2
ERR3017713	-2.989992873	0.228173515	-1.537430706	2
ERR3017714	-3.228502803	0.594421221	0.626363747	2
ERR3017715	-2.722082681	0.316262443	0.653454507	2
ERR3017717	-2.059484103	0.744362357	2.807604683	2
ERR3017718	-3.308194103	-2.742218848	-1.408589218	2
ERR3017719	-3.065292263	-0.268090823	-1.724258012	2
ERR3017720	-2.813688165	0.105501223	-0.172959832	2
ERR3017750	-2.279745098	0.804925306	2.051824394	2
ERR3017751	-2.343912588	0.872610613	2.796474964	2
ERR3017753	-2.373068151	0.646813657	2.826229699	2
ERR3017754	-3.486660079	-0.457045816	0.849807705	2
ERR3017755	-3.131983945	-2.961966289	2.893424376	2
ERR3017756	-4.005736986	0.590330665	0.24571785	2
ERR3017757	-4.028082877	0.011687723	-1.748811132	2
ERR3017799	-2.47089357	0.791721829	1.885190816	2
ERR3017800	-3.899571296	0.284505061	-2.779322256	2
ERR3017801	-3.791588449	0.437999732	-1.22297559	2
ERR3017802	-2.448531617	-0.9433651	1.075197173	2
ERR3017803	-2.14694241	0.828165437	2.362626728	2
ERR3017805	-2.474475271	0.184676127	2.665547113	2
ERR3017806	-2.939666403	0.689592581	1.336149256	2
ERR3017807	-2.961640728	0.522949946	0.646716282	2
ERR3017808	-3.670421225	0.214335906	-0.200264258	2
ERR3017809	-2.881951334	0.760568615	1.126299077	2
ERR3017810	-2.589404446	0.518005167	0.217628346	2
ERR3017811	-3.044282348	-0.700983282	-0.191479303	2
ERR3017856	-2.799069299	0.137921814	2.105511177	2
ERR3017857	-4.860808102	0.110351784	-1.176548504	2
ERR3017859	-2.88876599	-0.42099816	0.956330066	2
ERR3017860	-2.433047434	-0.891673869	-0.87366512	2
ERR3017861	-3.868971881	-0.649861598	-3.406364661	2
ERR3017862	-4.160875928	-2.610105242	-5.321781226	2
ERR3017863	-4.914568672	-0.238907263	-2.630365512	2
ERR3017864	-2.223258581	-1.103986479	-1.540912413	2
ERR3017865	-3.00989438	-0.991908817	-1.49614583	2
ERR3017907	-2.910822976	0.502880459	-0.533531141	2
ERR3017908	-3.102116509	0.536370243	0.728817297	2
ERR3017909	-2.19693992	0.419978754	1.332686643	2
ERR3017911	-2.35179645	-0.191158581	-0.635339951	2
ERR3017912	-3.466923807	-0.937868363	-6.671642586	2
ERR3017913	-3.120930749	-2.121390953	-6.77153761	2
ERR3017914	-2.558846309	0.675535723	1.092852659	2
ERR3017915	-2.952412963	0.715562462	2.008705613	2
ERR3017916	-1.862288331	-1.92829247	-2.826811412	2
ERR3017955	-2.663408095	0.702706133	0.887497448	2
ERR3017956	-2.153098472	0.931000009	3.3310316	2
ERR3017957	-2.360303009	0.740699497	1.680265501	2
ERR3017958	-2.174187762	-0.367320813	2.20237756	2
ERR3017959	-2.776073522	0.345847676	0.353729409	2
ERR3017961	-3.085958911	0.595795083	1.622124968	2
ERR3017962	-3.169747372	0.70347651	1.085220195	2
ERR3017963	-2.924306459	0.667226427	1.312465624	2
ERR3017964	-2.550103576	-0.394651772	0.472659254	2
ERR3017965	-2.804435156	-0.016459314	0.431410245	2
ERR3017997	-2.616069344	0.679851626	1.967207242	2
ERR3017998	-2.264299711	0.801184423	3.20966721	2
ERR3017999	-3.255695432	0.355723971	-1.98595192	2
ERR3018001	-3.240275148	0.055860145	-3.224645169	2
ERR3018002	-2.390910126	0.228203048	-1.543559225	2
ERR3018003	-3.652242526	0.186482718	-1.085423336	2
ERR3018048	-2.44136613	0.823099284	2.124794907	2
ERR3018049	-2.589093899	0.735739445	1.513117625	2
ERR3018050	-3.328998658	0.664189239	-0.110195922	2
ERR3018051	-2.796817464	-0.320004204	0.150635336	2
ERR3018053	-3.510848446	0.541662491	-0.001423577	2
ERR3018054	-2.432102246	0.821257322	1.922897616	2
ERR3018055	-2.687102508	0.212192122	-0.114463454	2
ERR3018056	-2.361676413	0.730453867	2.079255482	2
ERR3018101	-3.035418378	0.610917822	0.35082909	2
ERR3018102	-2.100874643	-0.322828953	-1.427156008	2
ERR3018103	-2.97808243	-0.37211523	-3.666778985	2
ERR3018104	-3.127347002	0.074050614	1.346650617	2
ERR3018105	-3.061270743	0.338624744	-0.296946389	2
ERR3018107	-3.838957208	0.690336908	0.281708674	2
ERR3018108	-2.852784435	-1.101485026	-0.92964741	2
ERR3018109	-5.526574374	0.066227011	-0.99331197	2
ERR3018110	-5.280545337	-3.267137491	3.265246473	2
ERR3018111	-0.578158557	-1.763837913	-2.552823085	2
ERR3018112	-1.342183316	-0.227152141	-3.60188601	2
ERR3018153	-2.039261013	0.784694271	2.222145318	2
ERR3018154	-2.762064328	0.6610568	1.41820819	2
ERR3018155	-2.313064143	0.486453002	2.340616288	2
ERR3018156	-2.048249361	-1.177374744	1.967745033	2
ERR3018157	-2.575040117	-0.214481424	0.912465979	2
ERR3018159	-2.690073734	0.685307619	1.37741804	2
ERR3018160	-2.910524099	0.288652835	-0.197981345	2
ERR3018161	-1.909082767	-0.213886194	-1.396575703	2
ERR3018162	-3.21728066	-0.237459558	1.349050958	2
