sub	type	month	num
Bgsng7155	2	1	36
Bgsng7155	2	2	36
Bgsng7155	2	3	36
Bgsng7155	2	4	36
Bgsng7155	2	5	36
Bgsng7155	2	6	36
Bgsng7155	2	7	36
Bgsng7155	2	8	36
Bgsng7155	2	9	36
Bgsng7155	2	10	36
Bgsng7155	2	11	36
Bgsng7155	2	12	36
Bgsng7155	2	13	36
Bgsng7155	2	14	36
Bgsng7155	2	15	36
Bgsng7155	2	16	36
Bgsng7155	2	17	36
Bgsng7155	4	18	36
Bgsng7155	2	19	36
Bgsng7155	2	20	36
Bgsng7155	2	21	36
Bgsng7155	4	22	36
Bgsng7155	2	23	36
Bgsng7155	2	24	36
Bgsng7155	2	25	36
Bgsng7155	2	26	36
Bgsng7155	2	27	36
Bgsng7155	2	28	36
Bgsng7155	2	29	36
Bgsng7155	2	30	36
Bgsng7155	2	31	36
Bgsng7155	2	32	36
Bgsng7155	2	33	36
Bgsng7155	2	34	36
Bgsng7155	2	35	36
Bgsng7155	2	36	36
Bgsng7173	2	1	36
Bgsng7173	2	2	36
Bgsng7173	2	3	36
Bgsng7173	2	4	36
Bgsng7173	2	5	36
Bgsng7173	2	6	36
Bgsng7173	2	7	36
Bgsng7173	2	8	36
Bgsng7173	2	9	36
Bgsng7173	2	10	36
Bgsng7173	2	11	36
Bgsng7173	2	12	36
Bgsng7173	2	13	36
Bgsng7173	4	14	36
Bgsng7173	2	15	36
Bgsng7173	2	16	36
Bgsng7173	4	17	36
Bgsng7173	4	18	36
Bgsng7173	2	19	36
Bgsng7173	2	20	36
Bgsng7173	2	21	36
Bgsng7173	2	22	36
Bgsng7173	2	23	36
Bgsng7173	2	24	36
Bgsng7173	2	25	36
Bgsng7173	2	26	36
Bgsng7173	2	27	36
Bgsng7173	2	28	36
Bgsng7173	2	29	36
Bgsng7173	2	30	36
Bgsng7173	2	31	36
Bgsng7173	2	32	36
Bgsng7173	2	33	36
Bgsng7173	2	34	36
Bgsng7173	2	35	36
Bgsng7173	2	36	36
Bgsng7178	2	1	36
Bgsng7178	2	2	36
Bgsng7178	2	3	36
Bgsng7178	2	4	36
Bgsng7178	2	5	36
Bgsng7178	2	6	36
Bgsng7178	2	7	36
Bgsng7178	2	8	36
Bgsng7178	2	9	36
Bgsng7178	2	10	36
Bgsng7178	2	11	36
Bgsng7178	2	12	36
Bgsng7178	2	13	36
Bgsng7178	2	14	36
Bgsng7178	2	15	36
Bgsng7178	4	16	36
Bgsng7178	2	17	36
Bgsng7178	2	18	36
Bgsng7178	2	19	36
Bgsng7178	2	20	36
Bgsng7178	2	21	36
Bgsng7178	2	22	36
Bgsng7178	2	23	36
Bgsng7178	2	24	36
Bgsng7178	2	25	36
Bgsng7178	2	26	36
Bgsng7178	2	27	36
Bgsng7178	2	28	36
Bgsng7178	2	29	36
Bgsng7178	2	30	36
Bgsng7178	2	31	36
Bgsng7178	2	32	36
Bgsng7178	2	33	36
Bgsng7178	2	34	36
Bgsng7178	2	35	36
Bgsng7178	2	36	36
Bgsng7204	2	1	36
Bgsng7204	2	2	36
Bgsng7204	2	3	36
Bgsng7204	2	4	36
Bgsng7204	2	5	36
Bgsng7204	2	6	36
Bgsng7204	2	7	36
Bgsng7204	1	8	36
Bgsng7204	2	9	36
Bgsng7204	1	10	36
Bgsng7204	2	11	36
Bgsng7204	2	12	36
Bgsng7204	2	13	36
Bgsng7204	2	14	36
Bgsng7204	2	15	36
Bgsng7204	2	16	36
Bgsng7204	2	17	36
Bgsng7204	4	18	36
Bgsng7204	2	19	36
Bgsng7204	2	20	36
Bgsng7204	2	21	36
Bgsng7204	2	22	36
Bgsng7204	4	23	36
Bgsng7204	4	24	36
Bgsng7204	2	25	36
Bgsng7204	2	26	36
Bgsng7204	2	27	36
Bgsng7204	2	28	36
Bgsng7204	2	29	36
Bgsng7204	2	30	36
Bgsng7204	2	31	36
Bgsng7204	2	32	36
Bgsng7204	2	33	36
Bgsng7204	4	34	36
Bgsng7204	2	35	36
Bgsng7204	2	36	36
Bgsng8064	1	1	36
Bgsng8064	2	2	36
Bgsng8064	2	3	36
Bgsng8064	2	4	36
Bgsng8064	2	5	36
Bgsng8064	2	6	36
Bgsng8064	2	7	36
Bgsng8064	2	8	36
Bgsng8064	2	9	36
Bgsng8064	2	10	36
Bgsng8064	2	11	36
Bgsng8064	2	12	36
Bgsng8064	2	13	36
Bgsng8064	2	14	36
Bgsng8064	2	15	36
Bgsng8064	2	16	36
